nom,prenom,age,totalbut,poste,equipe
Pavlovic,Mateo ,9 juin 1990(28),6,Défenseur central                            ,SCO Angers
Traoré,Ismaël ,18 août 1986(32),10,Défenseur central                            ,SCO Angers
Thomas,Romain ,12 juin 1988(30),5,Défenseur central                            ,SCO Angers
Mandrea,Anthony ,25 déc. 1996(21),-,Gardien de but                            ,SCO Angers
Butelle,Ludovic ,3 avr. 1983(35),10,Gardien de but                            ,SCO Angers
Boucher,Zacharie ,7 mars 1992(26),2,Gardien de but                            ,SCO Angers
Thuram,Marcus ,6 août 1997(21),8,Avant centre                            ,EA Guingamp
Roux,Nolan ,1 mars 1988(30),8,Avant centre                            ,EA Guingamp
N'Gbakoto,Yeni ,23 janv. 1992(26),4,Ailier droit                            ,EA Guingamp
Coco,Marcus ,24 juin 1996(22),8,Ailier droit                            ,EA Guingamp
Rodelin,Ronny ,18 nov. 1989(28),4,Ailier droit                            ,EA Guingamp
Benezet,Nicolas ,24 févr. 1991(27),10,Milieu offensif                            ,EA Guingamp
Didot,Étienne ,24 juil. 1983(35),10,Milieu central                            ,EA Guingamp
Fofana,Guessouma ,17 déc. 1992(25),7,Milieu central                            ,EA Guingamp
Blas,Ludovic ,31 déc. 1997(20),9,Milieu central                            ,EA Guingamp
Phiri,Lebogang ,9 nov. 1994(23),4,Milieu défensif                            ,EA Guingamp
Deaux,Lucas ,26 déc. 1988(29),6,Milieu défensif                            ,EA Guingamp
Traoré,Cheik ,31 mars 1995(23),4,Arrière droit                            ,EA Guingamp
Ikoko,Jordan ,3 févr. 1994(24),8,Arrière droit                            ,EA Guingamp
Tabanou,Franck ,30 janv. 1989(29),1,Arrière gauche                            ,EA Guingamp
Rebocho,Pedro ,23 janv. 1995(23),9,Arrière gauche                            ,EA Guingamp
Koita,Djegui ,5 août 1999(19),1,1er niveau,EA Guingamp
Sorbon,Jérémy ,5 août 1983(35),8,Défenseur central                            ,EA Guingamp
Kerbrat,Christophe ,2 août 1986(32),8,Défenseur central                            ,EA Guingamp
Eboa Eboa,Felix ,19 avr. 1997(21),8,Défenseur central                            ,EA Guingamp
Caillard,Marc-Aurèle ,12 mai 1994(24),-,Gardien de but                            ,EA Guingamp
Petric,Denis ,24 mai 1988(30),-,Gardien de but                            ,EA Guingamp
